start_ms	end_ms	head	brows	right-hand	left-hand	body	video_name	sType	sentence	speaker	start_frames	end_frames	frame_count	main_sign	pos
1666	2300				РАЗБИТЫЙ		part_q-okno_razb-makh	part_q	okno_razb	makh	49.0	69.0	83		
1766	2500	turn_forward					part_q-okno_razb-makh	part_q	okno_razb	makh	52.0	75.0	83		
1866	2300			РАЗБИТЫЙ			part_q-okno_razb-makh	part_q	okno_razb	makh	55.0	69.0	83	РАЗБИТЫЙ	V
133	1500		br_raise				part_q-okno_razb-mira	part_q	okno_razb	mira	0.0	44.0	83		
366	966				ПОЧЕМУ		part_q-okno_razb-mira	part_q	okno_razb	mira	8.0	27.0	83	ПОЧЕМУ	Q
1200	1633				ОКНО		part_q-okno_razb-mira	part_q	okno_razb	mira	34.0	48.0	83	ОКНО	N
1766	2500			РАЗБИТЫЙ			part_q-okno_razb-mira	part_q	okno_razb	mira	52.0	75.0	83		
1933	2500				РАЗБИТЫЙ		part_q-okno_razb-mira	part_q	okno_razb	mira	57.0	75.0	83	РАЗБИТЫЙ	V
366	1166			ПОЧЕМУ			part_q-okno_razb-tanya	part_q	okno_razb	tanya	8.0	33.0	84	ПОЧЕМУ	Q
500	1566		br_raise				part_q-okno_razb-tanya	part_q	okno_razb	tanya	12.0	46.0	84		
1333	1700			ОКНО			part_q-okno_razb-tanya	part_q	okno_razb	tanya	38.0	50.0	84	ОКНО	N
1766	2433				РАЗБИТЫЙ		part_q-okno_razb-tanya	part_q	okno_razb	tanya	52.0	73.0	84		
1866	2433			РАЗБИТЫЙ			part_q-okno_razb-tanya	part_q	okno_razb	tanya	55.0	73.0	84	РАЗБИТЫЙ	V
133	633	chin_up					part_q-papa_beg-tanya	part_q	papa_beg	tanya	0.0	16.0	82		
200	1000		br_raise				part_q-papa_beg-tanya	part_q	papa_beg	tanya	3.0	28.0	82		
300	933			КУДА			part_q-papa_beg-tanya	part_q	papa_beg	tanya	6.0	26.0	82	КУДА	Q
1133	1633			ПАПА			part_q-papa_beg-tanya	part_q	papa_beg	tanya	32.0	48.0	82	ПАПА	N
1733	2666				БЕЖАТЬ		part_q-papa_beg-tanya	part_q	papa_beg	tanya	51.0	80.0	82		
1766	2666			БЕЖАТЬ			part_q-papa_beg-tanya	part_q	papa_beg	tanya	52.0	80.0	82	БЕЖАТЬ	V
266	1500	chin_up					part_q-papa_beg-alt	part_q	papa_beg	alt	5.0	43.0	110		
600	1566			КУДА			part_q-papa_beg-alt	part_q	papa_beg	alt	15.0	45.0	110	КУДА	Q
1600	2401		br_raise				part_q-papa_beg-alt	part_q	papa_beg	alt	46.0	71.0	110		
1800	2300			ПАПА			part_q-papa_beg-alt	part_q	papa_beg	alt	52.0	68.0	110	ПАПА	N
2401	3166		br_raise				part_q-papa_beg-alt	part_q	papa_beg	alt	71.0	95.0	110		
2500	3100				БЕЖАТЬ		part_q-papa_beg-alt	part_q	papa_beg	alt	74.0	93.0	110		
2533	3100			БЕЖАТЬ			part_q-papa_beg-alt	part_q	papa_beg	alt	75.0	93.0	110	БЕЖАТЬ	V
166	1100		br_raise				part_q-papa_beg-makh	part_q	papa_beg	makh	2.0	31.0	98		
333	1066			КУДА			part_q-papa_beg-makh	part_q	papa_beg	makh	7.0	30.0	98	КУДА	Q
1233	1633			ПАПА			part_q-papa_beg-makh	part_q	papa_beg	makh	35.0	47.0	98	ПАПА	N
1766	2666				БЕЖАТЬ		part_q-papa_beg-makh	part_q	papa_beg	makh	52.0	80.0	98		
1866	2400	turn_forward					part_q-papa_beg-makh	part_q	papa_beg	makh	55.0	71.0	98		
1866	2666			БЕЖАТЬ			part_q-papa_beg-makh	part_q	papa_beg	makh	55.0	80.0	98	БЕЖАТЬ	V
133	700	chin_up					part_q-papa_beg-mira	part_q	papa_beg	mira	0.0	18.0	85		
466	800				КУДА		part_q-papa_beg-mira	part_q	papa_beg	mira	11.0	21.0	85	КУДА	Q
966	1566				ПАПА		part_q-papa_beg-mira	part_q	papa_beg	mira	27.0	46.0	85	ПАПА	N
1833	2433			БЕЖАТЬ	БЕЖАТЬ		part_q-papa_beg-mira	part_q	papa_beg	mira	54.0	73.0	85	БЕЖАТЬ	V
174	829			КУДА			part_q-papa_beg-kar	part_q	papa_beg	kar	0.0	17.0	47	КУДА	Q
218	1048	chin_up					part_q-papa_beg-kar	part_q	papa_beg	kar	2.0	22.0	47		
218	1397		br_raise				part_q-papa_beg-kar	part_q	papa_beg	kar	2.0	31.0	47		
1091	1484			ПАПА			part_q-papa_beg-kar	part_q	papa_beg	kar	23.0	33.0	47	ПАПА	N
1615	2052			БЕЖАТЬ			part_q-papa_beg-kar	part_q	papa_beg	kar	37.0	47.0	47	БЕЖАТЬ	V
1703	2052				БЕЖАТЬ		part_q-papa_beg-kar	part_q	papa_beg	kar	39.0	47.0	47		
133	833	chin_up					part_q-reb_tanc-alt	part_q	reb_tanc	alt	0.0	22.0	94		
333	700			ГДЕ			part_q-reb_tanc-alt	part_q	reb_tanc	alt	7.0	18.0	94	ГДЕ	Q
833	1600		br_raise				part_q-reb_tanc-alt	part_q	reb_tanc	alt	22.0	46.0	94		
1100	1566			РЕБЕНОК			part_q-reb_tanc-alt	part_q	reb_tanc	alt	31.0	45.0	94	РЕБЕНОК	N
2000	2633				ТАНЦЕВАТЬ		part_q-reb_tanc-alt	part_q	reb_tanc	alt	59.0	79.0	94		
2166	2633			ТАНЦЕВАТЬ			part_q-reb_tanc-alt	part_q	reb_tanc	alt	64.0	79.0	94	ТАНЦЕВАТЬ	V
467	987			ГДЕ			part_q-reb_tanc-kar	part_q	reb_tanc	kar	6.0	17.0	47	ГДЕ	Q
1143	1507			РЕБЕНОК			part_q-reb_tanc-kar	part_q	reb_tanc	kar	20.0	28.0	47	РЕБЕНОК	N
1662	2234				ТАНЦЕВАТЬ		part_q-reb_tanc-kar	part_q	reb_tanc	kar	31.0	43.0	47		
1714	2234			ТАНЦЕВАТЬ			part_q-reb_tanc-kar	part_q	reb_tanc	kar	32.0	43.0	47	ТАНЦЕВАТЬ	V
166	900			ГДЕ			part_q-reb_tanc-makh	part_q	reb_tanc	makh	2.0	25.0	80	ГДЕ	Q
200	866		br_raise				part_q-reb_tanc-makh	part_q	reb_tanc	makh	3.0	24.0	80		
1233	1500			РЕБЕНОК			part_q-reb_tanc-makh	part_q	reb_tanc	makh	35.0	44.0	80	РЕБЕНОК	N
1833	2366			ТАНЦЕВАТЬ			part_q-reb_tanc-makh	part_q	reb_tanc	makh	54.0	71.0	80	ТАНЦЕВАТЬ	V
1900	2366				ТАНЦЕВАТЬ		part_q-reb_tanc-makh	part_q	reb_tanc	makh	56.0	71.0	80		
233	733				ГДЕ		part_q-reb_tanc-mira	part_q	reb_tanc	mira	4.0	19.0	81	ГДЕ	Q
966	1566				РЕБЕНОК		part_q-reb_tanc-mira	part_q	reb_tanc	mira	27.0	46.0	81	РЕБЕНОК	N
1733	2300			ТАНЦЕВАТЬ			part_q-reb_tanc-mira	part_q	reb_tanc	mira	51.0	69.0	81		
1766	2300				ТАНЦЕВАТЬ		part_q-reb_tanc-mira	part_q	reb_tanc	mira	52.0	69.0	81	ТАНЦЕВАТЬ	V
166	733	chin_up					part_q-reb_tanc-tanya	part_q	reb_tanc	tanya	2.0	19.0	76		
300	766			ГДЕ			part_q-reb_tanc-tanya	part_q	reb_tanc	tanya	6.0	21.0	76	ГДЕ	Q
933	1333			РЕБЕНОК			part_q-reb_tanc-tanya	part_q	reb_tanc	tanya	26.0	38.0	76	РЕБЕНОК	N
1366	2200				ТАНЦЕВАТЬ		part_q-reb_tanc-tanya	part_q	reb_tanc	tanya	40.0	66.0	76		
1500	2200			ТАНЦЕВАТЬ			part_q-reb_tanc-tanya	part_q	reb_tanc	tanya	44.0	66.0	76	ТАНЦЕВАТЬ	V
266	1233	chin_up					part_q-sob_est-alt	part_q	sob_est	alt	5.0	35.0	90		
566	1133			ЧТО			part_q-sob_est-alt	part_q	sob_est	alt	14.0	32.0	90	ЧТО	Q
1133	2000		br_raise				part_q-sob_est-alt	part_q	sob_est	alt	32.0	59.0	90		
1400	1966			СОБАКА			part_q-sob_est-alt	part_q	sob_est	alt	40.0	58.0	90	СОБАКА	N
2000	2666			ЕСТЬ			part_q-sob_est-alt	part_q	sob_est	alt	59.0	80.0	90	ЕСТЬ	V
174	1087		br_raise				part_q-sob_est-kar	part_q	sob_est	kar	0.0	23.0	65		
174	1174			ЧТО			part_q-sob_est-kar	part_q	sob_est	kar	0.0	25.0	65	ЧТО	Q
1479	2001				СОБАКА		part_q-sob_est-kar	part_q	sob_est	kar	32.0	45.0	65		
1566	1870			СОБАКА			part_q-sob_est-kar	part_q	sob_est	kar	35.0	42.0	65	СОБАКА	N
2088	2566			ЕСТЬ			part_q-sob_est-kar	part_q	sob_est	kar	47.0	59.0	65	ЕСТЬ	V
533	1066			ЧТО			part_q-sob_est-makh	part_q	sob_est	makh	13.0	30.0	81	ЧТО	Q
1233	1633			СОБАКА			part_q-sob_est-makh	part_q	sob_est	makh	35.0	48.0	81	СОБАКА	N
1666	2266		br_raise				part_q-sob_est-makh	part_q	sob_est	makh	49.0	68.0	81		
1800	2333			ЕСТЬ			part_q-sob_est-makh	part_q	sob_est	makh	53.0	70.0	81	ЕСТЬ	V
300	933					lf	part_q-sob_est-mira	part_q	sob_est	mira	6.0	26.0	75		
400	866				ЧТО		part_q-sob_est-mira	part_q	sob_est	mira	9.0	24.0	75	ЧТО	Q
1400	1766				СОБАКА		part_q-sob_est-mira	part_q	sob_est	mira	41.0	52.0	75	СОБАКА	N
2033	2500				ЕСТЬ		part_q-sob_est-mira	part_q	sob_est	mira	61.0	75.0	75	ЕСТЬ	V
433	900	chin_up					part_q-sob_est-tanya	part_q	sob_est	tanya	10.0	25.0	72		
566	1133			ЧТО			part_q-sob_est-tanya	part_q	sob_est	tanya	14.0	32.0	72	ЧТО	Q
1300	1500			СОБАКА			part_q-sob_est-tanya	part_q	sob_est	tanya	38.0	44.0	72	СОБАКА	N
1733	2166			ЕСТЬ			part_q-sob_est-tanya	part_q	sob_est	tanya	51.0	65.0	72	ЕСТЬ	V
