video_name,PC_1,PC_2,PC_3,PC_4,sType,deaf,speaker_id,sentence
gen_q-papa_beg-makh,-2.1294955046548742,-0.4977129777101542,-0.3205242116533561,0.12118931504461619,gen_q,deaf,makh,papa_beg
gen_q-papa_beg-mira,-0.20986601810416555,1.5634730950704512,0.1045304697535076,0.6322726989282795,gen_q,deaf,mira,papa_beg
gen_q-papa_beg-shyr,-0.6523092683650917,-0.3566080687726467,0.1406887025909001,-0.06958390903408804,gen_q,hearing,shyr,papa_beg
gen_q-papa_beg-tanya,-1.3794756148963199,0.6364866211340301,0.12534721934278253,-0.2567902376685734,gen_q,deaf,tanya,papa_beg
gen_q-papa_beg-vik,-0.25489167605121804,-0.5633157683484302,-0.01803315780516826,0.35429974788295204,gen_q,hearing,vik,papa_beg
gen_q-papa_beg-x,-1.2965808758018802,1.6202480160170922,-0.03061188877721488,-0.6265521006150306,gen_q,hearing,x,papa_beg
gen_q-reb_tanc-alt,-2.186655140234133,0.15412485393684794,0.20306579939929714,-0.18838240851218424,gen_q,deaf,alt,reb_tanc
gen_q-reb_tanc-gul,-1.8275976901845976,-0.4175729540968399,-0.21490193799674762,-0.07481160879497673,gen_q,hearing,gul,reb_tanc
gen_q-reb_tanc-kar,-0.5208154399280057,-0.12231507540922043,0.06446840497775898,-0.3042920948995428,gen_q,deaf,kar,reb_tanc
gen_q-reb_tanc-makh,-2.292249909360571,-0.6119230579696632,-0.21277822435957594,0.3048379020183022,gen_q,deaf,makh,reb_tanc
gen_q-reb_tanc-mira,-0.3914230684624542,-0.14957929432979,-0.07361148863625908,-0.11022355032490569,gen_q,deaf,mira,reb_tanc
gen_q-reb_tanc-shyr,1.2014370354951978,0.09620770570438014,-0.07677058735819087,-0.2043987105640675,gen_q,hearing,shyr,reb_tanc
gen_q-reb_tanc-tanya,-1.8841891108904931,-0.22584843027932988,-0.8457274324977985,-0.2561398094510732,gen_q,deaf,tanya,reb_tanc
gen_q-reb_tanc-vik,0.2321349427733907,0.1768612667676259,0.02400184871872342,-0.10516127347641288,gen_q,hearing,vik,reb_tanc
gen_q-reb_tanc-x,-1.140797397797058,1.5443497981022265,-0.3871198507882218,-0.6386857960629615,gen_q,hearing,x,reb_tanc
gen_q-sob_est-alt,-2.1272876548004316,0.25327243802548144,0.3675743239479199,-0.11575261212756376,gen_q,deaf,alt,sob_est
gen_q-sob_est-gul,-1.2576997707906363,-0.20749222903689196,-0.42916592071490206,-0.13294444730853328,gen_q,hearing,gul,sob_est
gen_q-sob_est-kar,0.37312559939689827,-0.1828344285894269,-0.02106589620333499,-0.12550281674500005,gen_q,deaf,kar,sob_est
gen_q-sob_est-makh,-1.8746329527601513,-0.7458819601166977,-0.015203134079503688,0.008793029412753617,gen_q,deaf,makh,sob_est
gen_q-sob_est-mira,-1.0285881281111275,-0.3867377501231696,0.12952291261607857,0.06279462453618165,gen_q,deaf,mira,sob_est
gen_q-sob_est-shyr,0.6474056502480238,0.42445994035632084,-0.3129399610198957,0.007359310723779074,gen_q,hearing,shyr,sob_est
gen_q-sob_est-tanya,-1.0888483848015456,1.0148507177811277,-0.31657352276674555,-0.10920230921900895,gen_q,deaf,tanya,sob_est
gen_q-sob_est-x,-1.479536893166184,1.2327776436349436,-0.49108963618445045,-0.03719699110537498,gen_q,hearing,x,sob_est
gen_q-tel_slom-alt,-1.3771393264187792,0.39611334717457725,0.28792704329726454,-0.1323190131034733,gen_q,deaf,alt,tel_slom
gen_q-tel_slom-kar,0.09073244187446694,0.2010335472534907,-0.016295336519572698,-0.19615041744046333,gen_q,deaf,kar,tel_slom
gen_q-tel_slom-makh,-1.8282157659187455,-0.43800288812953886,-0.2882334263987473,0.12426115451277048,gen_q,deaf,makh,tel_slom
gen_q-tel_slom-mira,-0.6892712447939053,-0.2301854177830509,0.10578779197697996,0.14241970251759165,gen_q,deaf,mira,tel_slom
gen_q-tel_slom-shyr,-0.5153886324207673,-0.14390624454468406,0.09028873068877243,-0.02651010347262807,gen_q,hearing,shyr,tel_slom
gen_q-tel_slom-tanya,-0.13763923407773215,0.3569480133984356,-0.6607407061192779,0.028503230473446384,gen_q,deaf,tanya,tel_slom
gen_q-tel_slom-x,-1.2027144112619441,1.29630002006882,0.45615598142058655,-0.0734889180709557,gen_q,hearing,x,tel_slom
gen_q-uchit_smeh-alt,-1.4993692076762577,0.08667784380304394,0.8478558419886689,0.03853256743700986,gen_q,deaf,alt,uchit_smeh
gen_q-uchit_smeh-gul,-1.3522285150373263,-0.06706097990681703,-0.46937769995045564,0.08642209399146869,gen_q,hearing,gul,uchit_smeh
gen_q-uchit_smeh-kar,-0.04698837326005249,0.03736367398498773,0.04116481686001858,-0.3932676411027599,gen_q,deaf,kar,uchit_smeh
gen_q-uchit_smeh-makh,-1.7406521023810977,-0.310256231643385,-0.41573000684457634,0.09705331929878741,gen_q,deaf,makh,uchit_smeh
gen_q-uchit_smeh-mira,-1.6630930364628358,-0.9898429330420383,0.2759968633637991,-0.10150813316735324,gen_q,deaf,mira,uchit_smeh
gen_q-uchit_smeh-tanya,-0.8414555657350595,0.2832438352934128,-0.7524323543954339,-0.12012876226994704,gen_q,deaf,tanya,uchit_smeh
gen_q-uchit_smeh-vik,0.47565202706995485,-0.0981969238890589,-0.19761683094075586,-0.15313797747899877,gen_q,hearing,vik,uchit_smeh
gen_q-uchit_smeh-x,-1.3753941252171393,1.1750192546916733,-0.31996001737770247,0.06294536698013228,gen_q,hearing,x,uchit_smeh
part_q-dev_upala-alt,0.0019939209308307976,0.09138395524722273,-0.10169610768933346,-0.2690139965874613,part_q,deaf,alt,dev_upala
part_q-dev_upala-gul,0.827141210174486,-0.38211939505694736,-0.6689940238125505,0.9697899501020228,part_q,hearing,gul,dev_upala
part_q-dev_upala-kar,1.1911164740470213,-0.0379114516043878,-0.08055754705436846,-0.09708881543753314,part_q,deaf,kar,dev_upala
part_q-dev_upala-makh,-0.744827281876469,0.33264361250854246,-0.2792992789464241,0.10339296352085901,part_q,deaf,makh,dev_upala
part_q-dev_upala-mira,-0.09013654120612677,-0.39330428917580684,0.11748389215619098,-0.0011808405794738047,part_q,deaf,mira,dev_upala
part_q-dev_upala-shyr,1.4299059442150606,0.004722976904407927,-0.3123478051074216,-0.08912841711367515,part_q,hearing,shyr,dev_upala
part_q-dev_upala-tanya,-0.09895204858299975,0.10828773022716678,0.18290174647556942,0.35256862058753585,part_q,deaf,tanya,dev_upala
part_q-dev_upala-vik,1.1871310376033761,-0.4804650445885065,-0.10158389508029675,0.15754930279697704,part_q,hearing,vik,dev_upala
part_q-dev_upala-x,1.6452175106484974,0.20213060464536686,-0.2079847319929432,0.2435648572767245,part_q,hearing,x,dev_upala
part_q-dom_post-alt,-0.5888782749726585,0.49556699419482053,-0.058189888847684584,0.15780117116344944,part_q,deaf,alt,dom_post
part_q-dom_post-gul,-1.6429366843676185,-0.2221828119111196,0.34172042912601425,0.33504455497251256,part_q,hearing,gul,dom_post
part_q-dom_post-kar,1.1423148055869858,-0.0760009383845944,0.2556889688635654,0.015565761091742625,part_q,deaf,kar,dom_post
part_q-dom_post-makh,-1.0939768754193415,-0.28950749623936445,-0.32709953801783875,0.273211906984707,part_q,deaf,makh,dom_post
part_q-dom_post-mira,1.1092673733081804,0.11614240416791577,-0.15858942957512812,0.07566559330817511,part_q,deaf,mira,dom_post
part_q-dom_post-shyr,0.13066075714366404,-0.19726458195873353,0.32494060000614117,0.08659269969025155,part_q,hearing,shyr,dom_post
part_q-dom_post-tanya,0.10588789804365684,0.6058009270972791,0.4590638984426918,0.06768869186475474,part_q,deaf,tanya,dom_post
part_q-dom_post-vik,1.5742877268891202,-0.6719351867320461,-0.4983419588964412,0.027012078099321074,part_q,hearing,vik,dom_post
part_q-dom_post-x,2.7877651761561957,-0.1707302673728318,-0.27202656881237663,-0.1653654118135648,part_q,hearing,x,dom_post
part_q-mal_chit-alt,-1.9353360195495306,-0.33830846941783566,0.4028432333048994,-0.44805884060848644,part_q,deaf,alt,mal_chit
part_q-mal_chit-gul,-1.2547661890665003,-0.30898810210464256,0.20471060028414184,0.006043643138957028,part_q,hearing,gul,mal_chit
part_q-mal_chit-kar,0.501562777839474,0.09160590736169066,0.0033769539154929196,-0.3217304166514249,part_q,deaf,kar,mal_chit
part_q-mal_chit-makh,-1.2824411725946483,-0.15560567876532355,-0.13371139137700833,0.18047035512609622,part_q,deaf,makh,mal_chit
part_q-mal_chit-mira,-0.33090809992472897,-0.3042047132574775,0.09562630317873119,0.05710505859949017,part_q,deaf,mira,mal_chit
part_q-mal_chit-shyr,-0.02479250565302478,-0.180718229288775,0.2213775020352889,0.005184165446717001,part_q,hearing,shyr,mal_chit
part_q-mal_chit-tanya,-0.8221387770546792,0.9896177084455058,0.12432116712254188,0.3890712741710052,part_q,deaf,tanya,mal_chit
part_q-mal_chit-vik,0.18321550655523008,0.28799554052729776,0.05939696884218878,-0.09581565620535581,part_q,hearing,vik,mal_chit
part_q-mal_chit-x,2.3759195013671026,0.29571270373320335,0.1449418135727718,-0.13007093215692586,part_q,hearing,x,mal_chit
part_q-mama_ust-alt,0.7159508136654192,-0.08335493598913923,0.6835450482690189,0.3154269389338689,part_q,deaf,alt,mama_ust
part_q-mama_ust-gul,-1.474867371398933,-0.05072974155527793,0.46242595960995864,0.5562029585902653,part_q,hearing,gul,mama_ust
part_q-mama_ust-kar,2.374364420317744,0.1664983303430022,-0.43904559661193765,0.3297209003126384,part_q,deaf,kar,mama_ust
part_q-mama_ust-makh,-0.982448165427404,-0.5620382490371172,-0.43308715431931416,0.25947047407509616,part_q,deaf,makh,mama_ust
part_q-mama_ust-mira,0.4782079154425274,-0.013875039290692698,0.08096786833383107,0.057170236895280634,part_q,deaf,mira,mama_ust
part_q-mama_ust-shyr,0.6954841069722171,-0.004002003274570287,0.024611021938875433,-0.03713204778177706,part_q,hearing,shyr,mama_ust
part_q-mama_ust-tanya,0.5222818080238097,0.36987000319755026,0.30910243176644486,0.3556341022030781,part_q,deaf,tanya,mama_ust
part_q-mama_ust-vik,0.918502674924113,-0.4623583964311915,-0.2794673821208411,0.4465731314931241,part_q,hearing,vik,mama_ust
part_q-mama_ust-x,1.749989950676964,-0.11946072532044827,0.542403984476908,-0.04363938884788433,part_q,hearing,x,mama_ust
part_q-okno_razb-alt,0.8957372122174994,0.31437528614922283,0.10413716305779006,-0.023093556207371052,part_q,deaf,alt,okno_razb
part_q-okno_razb-gul,-0.8819858447205592,-0.4509133385429668,0.20875890456144164,0.27263684836146157,part_q,hearing,gul,okno_razb
part_q-okno_razb-kar,1.675661731638836,-0.012703168802133347,0.03160952410124973,-0.11684919775284404,part_q,deaf,kar,okno_razb
part_q-okno_razb-makh,-1.0354379400220404,-0.4248435258749949,-1.0507934735973703,0.21035836282359788,part_q,deaf,makh,okno_razb
part_q-okno_razb-mira,0.21898684259948387,-0.14392104221623564,-0.057933789379727096,0.06323099204892718,part_q,deaf,mira,okno_razb
part_q-okno_razb-shyr,0.5534547809663759,-0.13648124226758737,0.01701952498240772,-0.08174497192243141,part_q,hearing,shyr,okno_razb
part_q-okno_razb-tanya,0.3598578525715853,-0.21346677827132574,0.10597232069903091,0.29492848332477234,part_q,deaf,tanya,okno_razb
part_q-okno_razb-vik,1.6234370328370324,-0.47457478328759756,-0.5185279405887853,0.20780825912356915,part_q,hearing,vik,okno_razb
part_q-okno_razb-x,1.052468316545239,0.524959685119653,0.10724324670683683,-0.09628118352423587,part_q,hearing,x,okno_razb
part_q-papa_beg-alt,0.3053042994298166,0.6375181198769883,0.4090303237274665,0.19002766171744812,part_q,deaf,alt,papa_beg
part_q-papa_beg-gul,-1.2815432015978425,-0.0044971155961490705,0.3579958646241663,0.5047008507995703,part_q,hearing,gul,papa_beg
part_q-papa_beg-kar,0.851927084214202,0.07188077493929831,0.12026853098343662,0.04847050560317345,part_q,deaf,kar,papa_beg
part_q-papa_beg-makh,-1.2425130230798884,-0.30031309456568656,-0.09848953100321056,0.10656291387760808,part_q,deaf,makh,papa_beg
part_q-papa_beg-mira,-0.12009020279246532,0.3204263153175969,0.3241249871057482,0.2222015282744599,part_q,deaf,mira,papa_beg
part_q-papa_beg-shyr,0.7026986864094317,-0.13502215481715946,0.09587580616740751,0.12584615568639063,part_q,hearing,shyr,papa_beg
part_q-papa_beg-tanya,0.9952677789735045,0.5966378827375319,0.4799521992650209,0.2201991117199599,part_q,deaf,tanya,papa_beg
part_q-papa_beg-vik,0.1885579100112794,0.7169330675533652,0.33218900446090005,0.0958212626440377,part_q,hearing,vik,papa_beg
part_q-papa_beg-x,1.9147935570148937,0.6430662211303426,0.47980075859741156,0.2526182811091959,part_q,hearing,x,papa_beg
part_q-reb_tanc-alt,-0.47061598728051035,0.9098838398336353,0.6413540027357723,0.3396754913707557,part_q,deaf,alt,reb_tanc
part_q-reb_tanc-gul,-1.1422170471338253,-0.4630874789516688,0.18539762051150205,0.287900403352181,part_q,hearing,gul,reb_tanc
part_q-reb_tanc-kar,1.5304438931869226,-0.015376201025942116,0.0751610377142713,-0.09664897162435518,part_q,deaf,kar,reb_tanc
part_q-reb_tanc-makh,-1.3172248051943076,-0.4995464300243778,-0.03416883402708193,0.3035649756323257,part_q,deaf,makh,reb_tanc
part_q-reb_tanc-mira,0.7179320904384718,0.16871193043358876,-0.02909667572074509,0.21661644576417416,part_q,deaf,mira,reb_tanc
part_q-reb_tanc-shyr,0.6883050193739294,-0.26364883173984155,0.35003991816020846,-0.2334081374919737,part_q,hearing,shyr,reb_tanc
part_q-reb_tanc-tanya,0.9000141017412566,0.6006055792556159,-0.18819160930296067,0.35519742099513696,part_q,deaf,tanya,reb_tanc
part_q-reb_tanc-x,2.1912007819623387,0.21267848436246128,0.09703714935884478,0.2572331524708782,part_q,hearing,x,reb_tanc
part_q-sob_est-alt,-0.823788908156937,1.098465367641304,0.9183178689398401,0.2150806314993518,part_q,deaf,alt,sob_est
part_q-sob_est-gul,-0.8177665620890467,-0.8453264662788701,0.1797484049713334,0.21637970634032982,part_q,hearing,gul,sob_est
