,start_frames,start_frames,start_frames,end_frames,end_frames,end_frames
pos,N,Q,V,N,Q,V
video_name,,,,,,
part_q-dom_post-mira,35.0,13.0,52.0,43.0,28.0,83.0
part_q-dom_post-shyr,22.0,9.0,29.0,28.0,21.0,43.0
part_q-dom_post-tanya,36.0,21.0,48.0,43.0,32.0,88.0
part_q-dom_post-vik,28.0,14.0,38.0,35.0,25.0,52.0
part_q-dom_post-x,32.0,3.0,42.0,38.0,25.0,81.0
part_q-mal_chit-alt,35.0,12.0,61.0,48.0,25.0,83.0
part_q-mal_chit-gul,26.0,8.0,44.0,38.0,24.0,59.0
part_q-mal_chit-kar,20.0,6.0,37.0,30.0,16.0,54.0
part_q-mal_chit-makh,47.0,29.0,66.0,60.0,46.0,87.0
part_q-mal_chit-mira,29.0,5.0,50.0,41.0,21.0,68.0
part_q-mal_chit-shyr,19.0,9.0,28.0,27.0,18.0,37.0
part_q-mal_chit-tanya,33.0,8.0,55.0,45.0,29.0,82.0
part_q-mal_chit-vik,27.0,15.0,40.0,37.0,26.0,56.0
part_q-mal_chit-x,30.0,7.0,54.0,48.0,26.0,90.0
part_q-mama_ust-alt,44.0,13.0,74.0,58.0,34.0,95.0
part_q-mama_ust-gul,27.0,10.0,39.0,37.0,23.0,50.0
part_q-mama_ust-kar,25.0,0.0,43.0,34.0,21.0,51.0
part_q-mama_ust-makh,34.0,16.0,54.0,48.0,28.0,73.0
part_q-mama_ust-mira,35.0,5.0,58.0,50.0,30.0,70.0
part_q-mama_ust-shyr,16.0,5.0,24.0,22.0,14.0,32.0
part_q-mama_ust-tanya,37.0,10.0,60.0,56.0,32.0,75.0
part_q-mama_ust-vik,66.0,18.0,83.0,79.0,62.0,98.0
part_q-mama_ust-x,30.0,7.0,48.0,45.0,27.0,70.0
part_q-okno_razb-alt,45.0,15.0,73.0,66.0,37.0,95.0
part_q-okno_razb-gul,25.0,9.0,44.0,41.0,22.0,55.0
part_q-okno_razb-kar,18.0,0.0,37.0,30.0,16.0,44.0
part_q-okno_razb-makh,30.0,8.0,55.0,44.0,24.0,69.0
part_q-okno_razb-mira,34.0,8.0,57.0,48.0,27.0,75.0
part_q-okno_razb-shyr,16.0,5.0,26.0,23.0,15.0,36.0
part_q-okno_razb-tanya,38.0,8.0,55.0,50.0,33.0,73.0
part_q-okno_razb-vik,30.0,13.0,42.0,37.0,27.0,57.0
part_q-okno_razb-x,48.0,30.0,70.0,65.0,46.0,92.0
part_q-papa_beg-alt,52.0,15.0,75.0,68.0,45.0,93.0
part_q-papa_beg-gul,25.0,8.0,38.0,37.0,21.0,54.0
part_q-papa_beg-kar,23.0,0.0,37.0,33.0,17.0,47.0
part_q-papa_beg-makh,35.0,7.0,55.0,47.0,30.0,80.0
part_q-papa_beg-mira,27.0,11.0,54.0,46.0,21.0,73.0
part_q-papa_beg-shyr,10.0,20.0,27.0,19.0,25.0,34.0
part_q-papa_beg-tanya,32.0,6.0,52.0,48.0,26.0,80.0
part_q-papa_beg-vik,21.0,3.0,39.0,37.0,17.0,50.0
part_q-papa_beg-x,31.0,2.0,54.0,50.0,27.0,81.0
part_q-reb_tanc-alt,31.0,7.0,64.0,45.0,18.0,79.0
part_q-reb_tanc-gul,30.0,7.0,42.0,38.0,24.0,53.0
part_q-reb_tanc-kar,20.0,6.0,32.0,28.0,17.0,43.0
part_q-reb_tanc-makh,35.0,2.0,54.0,44.0,25.0,71.0
part_q-reb_tanc-mira,27.0,4.0,52.0,46.0,19.0,69.0
part_q-reb_tanc-shyr,11.0,4.0,19.0,18.0,11.0,32.0
part_q-reb_tanc-tanya,26.0,6.0,44.0,38.0,21.0,66.0
part_q-reb_tanc-x,45.0,10.0,61.0,58.0,30.0,90.0
part_q-sob_est-alt,40.0,14.0,59.0,58.0,32.0,80.0
part_q-sob_est-gul,30.0,10.0,49.0,45.0,27.0,63.0
part_q-sob_est-kar,35.0,0.0,47.0,42.0,25.0,59.0
part_q-sob_est-makh,35.0,13.0,53.0,48.0,30.0,70.0
part_q-sob_est-mira,41.0,9.0,61.0,52.0,24.0,75.0
part_q-sob_est-shyr,16.0,4.0,26.0,23.0,15.0,34.0
part_q-sob_est-tanya,38.0,14.0,51.0,44.0,32.0,65.0
part_q-sob_est-vik,24.0,9.0,40.0,37.0,20.0,52.0
part_q-sob_est-x,40.0,15.0,58.0,56.0,37.0,84.0
part_q-tel_slom-alt,31.0,3.0,51.0,44.0,23.0,75.0
part_q-tel_slom-gul,28.0,8.0,48.0,45.0,27.0,64.0
part_q-tel_slom-kar,26.0,5.0,34.0,31.0,19.0,45.0
part_q-tel_slom-makh,38.0,11.0,52.0,47.0,26.0,61.0
part_q-tel_slom-mira,45.0,6.0,66.0,60.0,34.0,79.0
part_q-tel_slom-shyr,18.0,8.0,26.0,25.0,17.0,34.0
part_q-tel_slom-tanya,33.0,11.0,50.0,47.0,29.0,74.0
part_q-tel_slom-vik,27.0,10.0,44.0,41.0,25.0,54.0
part_q-tel_slom-x,58.0,40.0,81.0,77.0,54.0,105.0
part_q-uchit_smeh-alt,39.0,13.0,62.0,59.0,34.0,87.0
part_q-uchit_smeh-gul,48.0,21.0,61.0,60.0,32.0,70.0
part_q-uchit_smeh-kar,16.0,-0.0,30.0,28.0,12.0,44.0
part_q-uchit_smeh-makh,33.0,4.0,50.0,47.0,24.0,71.0
part_q-uchit_smeh-mira,28.0,0.0,49.0,43.0,19.0,70.0
part_q-uchit_smeh-shyr,23.0,11.0,31.0,31.0,19.0,40.0
part_q-uchit_smeh-tanya,42.0,11.0,66.0,62.0,35.0,84.0
part_q-uchit_smeh-vik,42.0,17.0,68.0,65.0,37.0,84.0
part_q-uchit_smeh-x,50.0,20.0,70.0,66.0,44.0,101.0
st-dev_upala-alt,5.0,,32.0,26.0,,57.0
st-dev_upala-gul,5.0,,27.0,21.0,,45.0
st-dev_upala-kar,14.0,,28.0,24.0,,49.0
st-dev_upala-makh,28.0,,47.0,40.0,,66.0
st-dev_upala-mira,5.0,,32.0,22.0,,55.0
st-dev_upala-shyr,6.0,,17.0,14.0,,29.0
st-dev_upala-tanya,12.0,,32.0,27.0,,59.0
st-dev_upala-vik,11.0,,32.0,27.0,,47.0
st-dev_upala-x,21.0,,43.0,39.0,,73.0
st-dom_post-alt,19.0,,45.0,35.0,,87.0
st-dom_post-gul,5.0,,29.0,24.0,,48.0
st-dom_post-kar,0.0,,20.0,18.0,,42.0
st-dom_post-makh,11.0,,37.0,31.0,,56.0
st-dom_post-mira,4.0,,29.0,22.0,,63.0
st-dom_post-shyr,5.0,,15.0,14.0,,30.0
st-dom_post-tanya,12.0,,41.0,37.0,,73.0
st-dom_post-x,10.0,,40.0,36.0,,71.0
st-mal_chit-alt,12.0,,40.0,31.0,,82.0
st-mal_chit-gul,7.0,,26.0,20.0,,38.0
st-mal_chit-kar,9.0,,27.0,21.0,,42.0
st-mal_chit-makh,17.0,,47.0,39.0,,63.0
st-mal_chit-mira,12.0,,36.0,26.0,,57.0
st-mal_chit-shyr,8.0,,21.0,18.0,,31.0
st-mal_chit-tanya,10.0,,41.0,34.0,,60.0
st-mal_chit-vik,5.0,,24.0,21.0,,44.0
st-mal_chit-x,22.0,,48.0,43.0,,82.0
st-mama_ust-alt,14.0,,31.0,27.0,,52.0
st-mama_ust-gul,4.0,,24.0,22.0,,38.0
st-mama_ust-kar,4.0,,28.0,22.0,,43.0
st-mama_ust-makh,20.0,,47.0,39.0,,66.0
st-mama_ust-mira,8.0,,31.0,26.0,,66.0
st-mama_ust-shyr,7.0,,18.0,17.0,,28.0
st-mama_ust-tanya,7.0,,33.0,30.0,,52.0
st-mama_ust-vik,13.0,,38.0,34.0,,55.0
st-mama_ust-x,20.0,,51.0,46.0,,72.0
st-okno_razb-alt,11.0,,43.0,35.0,,68.0
st-okno_razb-gul,5.0,,23.0,20.0,,37.0
st-okno_razb-kar,0.0,,22.0,17.0,,35.0
st-okno_razb-makh,16.0,,42.0,35.0,,60.0
st-okno_razb-mira,12.0,,37.0,31.0,,62.0
st-okno_razb-shyr,5.0,,17.0,13.0,,25.0
st-okno_razb-tanya,4.0,,27.0,23.0,,43.0
st-okno_razb-vik,14.0,,38.0,33.0,,55.0
st-okno_razb-x,20.0,,46.0,40.0,,62.0
st-papa_beg-alt,13.0,,46.0,41.0,,72.0
st-papa_beg-gul,4.0,,22.0,21.0,,48.0
st-papa_beg-kar,0.0,,25.0,21.0,,46.0
st-papa_beg-makh,32.0,,61.0,56.0,,91.0
st-papa_beg-mira,8.0,,36.0,29.0,,81.0
st-papa_beg-shyr,6.0,,23.0,18.0,,30.0
st-papa_beg-tanya,11.0,,37.0,33.0,,73.0
st-papa_beg-vik,7.0,,30.0,27.0,,45.0
st-papa_beg-x,25.0,,49.0,45.0,,92.0
st-reb_tanc-alt,16.0,,51.0,46.0,,84.0
st-reb_tanc-gul,2.0,,19.0,18.0,,35.0
st-reb_tanc-kar,3.0,,21.0,18.0,,40.0
st-reb_tanc-makh,26.0,,44.0,36.0,,64.0
st-reb_tanc-mira,9.0,,33.0,27.0,,60.0
st-reb_tanc-shyr,0.0,,13.0,11.0,,25.0
st-reb_tanc-tanya,19.0,,44.0,38.0,,68.0
st-reb_tanc-vik,4.0,,26.0,21.0,,46.0
st-reb_tanc-x,17.0,,50.0,44.0,,87.0
st-sob_est-alt,24.0,,48.0,38.0,,69.0
st-sob_est-gul,5.0,,27.0,22.0,,43.0
st-sob_est-kar,4.0,,26.0,21.0,,42.0
st-sob_est-makh,19.0,,46.0,37.0,,60.0
st-sob_est-mira,14.0,,39.0,27.0,,60.0
st-sob_est-shyr,4.0,,13.0,12.0,,23.0
st-sob_est-tanya,12.0,,44.0,35.0,,62.0
st-sob_est-vik,6.0,,28.0,23.0,,45.0
st-sob_est-x,0.0,,17.0,10.0,,40.0
st-tel_slom-alt,10.0,,31.0,24.0,,49.0
st-tel_slom-gul,0.0,,22.0,20.0,,41.0
st-tel_slom-kar,9.0,,29.0,26.0,,49.0
st-tel_slom-makh,8.0,,31.0,28.0,,51.0
st-tel_slom-mira,14.0,,36.0,30.0,,61.0
st-tel_slom-shyr,7.0,,18.0,16.0,,28.0
st-tel_slom-tanya,5.0,,36.0,33.0,,64.0
st-tel_slom-vik,11.0,,34.0,29.0,,49.0
st-tel_slom-x,19.0,,45.0,41.0,,63.0
st-uchit_smeh-alt,12.0,,38.0,32.0,,63.0
st-uchit_smeh-gul,4.0,,24.0,21.0,,38.0
st-uchit_smeh-kar,-0.0,,25.0,23.0,,38.0
st-uchit_smeh-makh,19.0,,45.0,41.0,,62.0
st-uchit_smeh-mira,0.0,,28.0,25.0,,52.0
st-uchit_smeh-tanya,16.0,,47.0,44.0,,69.0
st-uchit_smeh-vik,14.0,,44.0,41.0,,62.0
st-uchit_smeh-x,25.0,,56.0,52.0,,89.0
